bfId,stateId,role
explore,information,primary
explore,reasoning,supporting
explore,construction,secondary
verify,information,primary
verify,reasoning,primary
verify,construction,secondary
process,information,supporting
process,reasoning,primary
process,construction,secondary
connect,information,supporting
connect,reasoning,secondary
connect,construction,primary
externalize,information,supporting
externalize,reasoning,secondary
externalize,construction,primary
monitor,information,supporting
monitor,reasoning,primary
monitor,construction,secondary